okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Live Answers per Hour;3840263;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Import to the EV Master;3968169;visualizationObject;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Success per Hour Forecast - 3 Months;3909745;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Live Answers per Hour Forecast - 3 Months;3909761;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Answers per Hour Forecast - 9 Months;3909755;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Completes per Hour Forecast - 9 Months;3909763;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Success per Hour;3840255;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Answers per Hour Trend;3910564;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 12 Months;3909750;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Outbound Performance;1465;analyticalDashboard;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 6 Months;3909752;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Completes per Hour;3840256;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Success per Hour Forecast - 12 Months;3909742;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Success per Hour Trend;3910561;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 3 Months;3909753;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Completes per Hour Trend;3910566;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Live Answers per Hour Forecast - 6 Months;3909760;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Success per Hour Forecast - 9 Months;3909743;metric;n/a
okmeucswhe6y2aev14eildz76of58fmh;attr.interactionstarttime.interactionstarthour;Avg Answers per Hour Forecast - 3 Months;3909757;metric;n/a
