source_workspace_id;source_attribute;object_title;legacy_object_id;legacy_object_type;aac_lookup_category
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 12 Months;3909750;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Outbound Performance;1465;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 6 Months;3909752;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Completes per Hour;3840256;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Success per Hour Forecast - 12 Months;3909742;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Success per Hour Trend;3910561;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 3 Months;3909753;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Completes per Hour Trend;3910566;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Live Answers per Hour Forecast - 6 Months;3909760;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Success per Hour Forecast - 9 Months;3909743;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Answers per Hour Forecast - 3 Months;3909757;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Completes per Hour Forecast - 12 Months;3909762;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Dials per Hour Forecast - 9 Months;3909747;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Live Answers per Hour Trend;3910565;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Answers per Hour;3840254;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Success per Hour Forecast - 6 Months;3909744;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Contacts per Hour;3840257;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Answers per Hour Forecast - 12 Months;3909754;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;[DEMO] Avg per Hour;3840253;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Dials per Hour Trend;3910562;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Contacts per Hour Forecast - 9 Months;3909751;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstarthour;Avg Completes per Hour Forecast - 3 Months;3909765;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstartquarterhour;Inbound Interactions Volume;3971788;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;interactionstarttime.interactionstartquarterhour;Queue Inbound Interaction per Day of Week and Time of Day;3971786;visualizationObject;visualization
